img,cat
n11900569_1837,nonanimal
n12754781_7919,nonanimal
n11931135_930,nonanimal
n12914923_12713,nonanimal
n12596709_10395,nonanimal
n02016358_2460,animal
n02161338_2882,animal
n11700058_1165,nonanimal
n02050586_7832,animal
n12459629_6972,nonanimal
n02388917_4181,animal
n12793284_2772,nonanimal
n02162561_463,animal
n02460009_8650,animal
n12196527_704,nonanimal
n02044517_1828,animal
n11779300_3096,nonanimal
n12283542_7547,nonanimal
n09415671_8419,nonanimal
n11826198_2232,nonanimal
n02576575_1966,animal
n02059541_1716,animal
n12234669_756,nonanimal
n12744387_1826,nonanimal
n11621950_12164,nonanimal
n01321230_2001,animal
n11726269_463,nonanimal
n01604330_14292,animal
n11658331_3081,nonanimal
n12867826_10367,nonanimal
n01734104_4993,animal
n01324431_5140,animal
n11815918_3263,nonanimal
n01636829_550,animal
n01999186_95,animal
n01666585_247,animal
n12251001_2041,nonanimal
n02584449_15298,animal
n01603812_3982,animal
n13234678_2477,nonanimal
n12948251_1745,nonanimal
n12574866_2413,nonanimal
n12023407_16596,nonanimal
n11778257_9289,nonanimal
n12932173_11402,nonanimal
n12741222_5405,nonanimal
n12683791_1032,nonanimal
n12328567_15150,nonanimal
n13008315_519,nonanimal
n12483625_6378,nonanimal
n09396465_16141,nonanimal
n11826198_10727,nonanimal
n12048399_4220,nonanimal
n02176747_16213,animal
n12479537_7325,nonanimal
n12344700_1653,nonanimal
n12454949_98,nonanimal
n12179122_4808,nonanimal
n02563182_1677,animal
n01572654_1516,animal
n01526521_14364,animal
n02433318_4781,animal
n11888800_2446,nonanimal
n02241426_7957,animal
n01622959_5275,animal
n12817855_2328,nonanimal
n12286988_807,nonanimal
n01324431_7056,animal
n02202678_13744,animal
n02045864_674,animal
n12384037_10460,nonanimal
n01924916_2730,animal
n09475925_13447,nonanimal
n12616630_18,nonanimal
n11943660_10600,nonanimal
n02390101_7383,animal
n02317335_12672,animal
n01527917_6089,animal
n11953884_2067,nonanimal
n01533000_635,animal
n02327656_1609,animal
n12656369_9665,nonanimal
n02415577_389,animal
n12344700_2519,nonanimal
n01884834_5551,animal
n09246464_20323,nonanimal
n01324916_466,animal
n02658531_7571,animal
n12694486_3053,nonanimal
n02123045_3066,animal
n12062781_3903,nonanimal
n02033561_4290,animal
n02084861_19019,animal
n12400489_2791,nonanimal
n09415671_13820,nonanimal
n02048115_3220,animal
n13221529_12406,nonanimal
n01316734_3401,animal
n09290444_7008,nonanimal
n11877646_2979,nonanimal
n02409508_3465,animal
n12899166_1079,nonanimal
n01664674_6082,animal
n12777680_1856,nonanimal
n11901294_260,nonanimal
n01828096_2796,animal
n12270741_3141,nonanimal
n02204907_375,animal
n02618827_4475,animal
n11813077_2391,nonanimal
n01808140_1926,animal
n12638753_16517,nonanimal
n12340755_3892,nonanimal
n11709205_7636,nonanimal
n13235766_1373,nonanimal
n01831360_4082,animal
n12414035_4432,nonanimal
n01572782_1769,animal
n12595964_4849,nonanimal
n11969166_5746,nonanimal
n11823436_7501,nonanimal
n11711764_19585,nonanimal
n02324431_1120,animal
n02603317_1224,animal
n01499396_493,animal
n02631330_721,animal
n02548247_14540,animal
n12092262_12008,nonanimal
n02140049_3637,animal
n11609862_4746,nonanimal
n12312728_605,nonanimal
n02323449_3724,animal
n02024479_507,animal
n13199717_2008,nonanimal
n11836722_3127,nonanimal
n02112497_745,animal
n12675876_1388,nonanimal
n11870418_3223,nonanimal
n12277150_3306,nonanimal
n02117512_3595,animal
n01542786_1185,animal
n12281241_5055,nonanimal
n02086478_1503,animal
n02497673_3708,animal
n01756916_1787,animal
n02195526_21989,animal
n02110627_2424,animal
n02480153_5784,animal
n02024763_12331,animal
n12947544_4221,nonanimal
n01614038_7299,animal
n01689081_2103,animal
n02453108_3578,animal
n12734070_4699,nonanimal
n02150134_41,animal
n02361337_4153,animal
n02556846_10008,animal
n12650379_7277,nonanimal
n02169023_9954,animal
n12184912_2429,nonanimal
n02257985_4485,animal
n01531971_1515,animal
n01850553_366,animal
n01548492_1107,animal
n02568087_14793,animal
n01321123_5311,animal
n11965218_391,nonanimal
n13222985_1404,nonanimal
n01443537_1895,animal
n02387346_11216,animal
n02317335_17582,animal
n02283201_14040,animal
n01618503_5938,animal
n11734493_3277,nonanimal
n12279458_2783,nonanimal
n13019835_1138,nonanimal
n02655848_3664,animal
n02366959_11228,animal
n12061614_3569,nonanimal
n02627532_9076,animal
n11618525_7809,nonanimal
n02101388_7364,animal
n11875691_3967,nonanimal
n02100735_4072,animal
n02309242_4613,animal
n02433925_15700,animal
n12185859_6229,nonanimal
n12711984_661,nonanimal
n12159055_2044,nonanimal
n01713764_999,animal
n12282527_2586,nonanimal
n01641391_24496,animal
n02069412_1660,animal
n01905661_8456,animal
n02334201_3684,animal
n01752736_9066,animal
n12614477_4589,nonanimal
n02537319_619,animal
n01998741_1362,animal
n12421917_6191,nonanimal
n02077923_11146,animal
n02487547_4002,animal
n12004120_5337,nonanimal
n02034971_2938,animal
n11623967_7342,nonanimal
n12640284_2519,nonanimal
n12926689_316,nonanimal
n12151615_10306,nonanimal
n11981192_2732,nonanimal
n02413131_9385,animal
n02055107_5858,animal
n11985739_272,nonanimal
n11991263_1580,nonanimal
n12451399_6822,nonanimal
n02023992_1275,animal
n02364520_6153,animal
n02059162_2601,animal
n11934239_9686,nonanimal
n12305986_6294,nonanimal
n01822300_3998,animal
n12937130_2290,nonanimal
n12757816_2859,nonanimal
n12670758_7020,nonanimal
n01598588_113,animal
n02486908_1127,animal
n01979874_2433,animal
n02222035_1177,animal
n12893463_16,nonanimal
n12890265_10015,nonanimal
n02397096_8774,animal
n02123478_3484,animal
n02311060_8780,animal
n02389779_5041,animal
n02134084_6162,animal
n01740551_10521,animal
n12596709_347,nonanimal
n11929743_2674,nonanimal
n01550172_7563,animal
n12477163_7301,nonanimal
n11928352_18326,nonanimal
n02221083_3235,animal
n12724942_17105,nonanimal
n02065407_7028,animal
n12684379_2752,nonanimal
n01589286_1011,animal
n02112350_5480,animal
n01594004_4937,animal
n02340358_1437,animal
n01795545_202,animal
n12859153_711,nonanimal
n01817953_859,animal
n12074867_4628,nonanimal
n12979829_6783,nonanimal
n12880244_706,nonanimal
