img,cat
n12887713_325,nonanimal
n12236977_1254,nonanimal
n02112137_16853,animal
n03396074_7912,nonanimal
n02236241_5267,animal
n02108672_1144,animal
n04584373_8397,nonanimal
n03934565_3690,nonanimal
n02114548_3145,animal
n01828556_6609,animal
n01698640_64,animal
n04545984_6990,nonanimal
n02555863_9541,animal
n02335231_1312,animal
n04327204_14079,nonanimal
n01545574_280,animal
n01533481_6800,animal
n13237508_177,nonanimal
n02437312_9701,animal
n04403413_21931,nonanimal
n03704549_3111,nonanimal
n04118635_3142,nonanimal
n04486213_3162,nonanimal
n01852400_2226,animal
n01773157_1048,animal
n12934985_1091,nonanimal
n02126640_4564,animal
n02341288_936,animal
n01682435_1535,animal
n11698042_10104,nonanimal
n04492749_3518,nonanimal
n04587559_8111,nonanimal
n02306825_10110,animal
n12686077_3977,nonanimal
n12629305_4318,nonanimal
n13141797_9031,nonanimal
n11618525_7728,nonanimal
n02170599_312,animal
n02024479_2646,animal
n12271187_3381,nonanimal
n01840775_749,animal
n02961035_25590,nonanimal
n12728322_5170,nonanimal
n12791329_7484,nonanimal
n12711182_5502,nonanimal
n02548884_6048,animal
n04479694_6063,nonanimal
n12703716_1731,nonanimal
n01565078_8938,animal
n02176747_4515,animal
n11983375_3472,nonanimal
n13207572_1478,nonanimal
n03795758_26489,nonanimal
n02133400_1904,animal
n02079851_12411,animal
n11937360_192,nonanimal
n03551395_2296,nonanimal
n02442336_99,animal
n02208848_12891,animal
n09396608_1882,nonanimal
n07744559_6181,nonanimal
n03272562_6558,nonanimal
n04283378_5158,nonanimal
n12362514_627,nonanimal
n02606384_1367,animal
n01741442_1027,animal
n04423845_15148,nonanimal
n02172518_3961,animal
n01564914_959,animal
n13230843_2881,nonanimal
n02866106_3772,nonanimal
n03784896_6738,nonanimal
n04314522_1493,nonanimal
n02129837_6788,animal
n12183026_649,nonanimal
n02387983_11917,animal
n01682172_4098,animal
n11646344_1822,nonanimal
n02123045_108,animal
n02191979_9640,animal
n03259280_995,nonanimal
n02396427_10340,animal
n12281974_1501,nonanimal
n01486838_2147,animal
n03231368_11134,nonanimal
n12891093_3851,nonanimal
n03271030_7426,nonanimal
n03674440_3889,nonanimal
n02068974_6829,animal
n04533499_9245,nonanimal
n03653740_7279,nonanimal
n02028035_7692,animal
n02793842_237,nonanimal
n02964934_1779,nonanimal
n12002428_228,nonanimal
n02117900_5370,animal
n02177196_6388,animal
n03917198_420,nonanimal
n01735439_3510,animal
n13158512_1755,nonanimal
n02488415_9991,animal
n01736796_1791,animal
n01847407_4786,animal
n02388735_9399,animal
n12409840_1811,nonanimal
n02112018_3730,animal
n04317063_2873,nonanimal
n07772788_33489,nonanimal
n04283255_4572,nonanimal
n12084400_216,nonanimal
n02746978_11818,nonanimal
n12091377_1973,nonanimal
n02257284_4659,animal
n04381073_18280,nonanimal
n12285512_4955,nonanimal
n03417970_5578,nonanimal
n01619310_22221,animal
n02136285_723,animal
n12907057_3937,nonanimal
n03408054_3974,nonanimal
n12857204_1819,nonanimal
n12236160_2481,nonanimal
n01887474_6400,animal
n02104523_11680,animal
n02886321_13163,nonanimal
n03972372_9403,nonanimal
n03729647_11,nonanimal
n02357911_1339,animal
n04339879_16381,nonanimal
n02211627_3482,animal
n02602760_872,animal
n02111277_6982,animal
n03168543_5332,nonanimal
n01489709_3736,animal
n01599556_1285,animal
n01806847_2233,animal
n01558307_19824,animal
n02497673_6372,animal
n03078506_2019,nonanimal
n02125010_578,animal
n02698244_2083,nonanimal
n01878929_3607,animal
n03878066_18794,nonanimal
n01528396_14579,animal
n03229244_8748,nonanimal
n02701730_4989,nonanimal
n01697457_2812,animal
n02129530_1561,animal
n02429456_680,animal
n07750449_4457,nonanimal
n01581984_5765,animal
n07751737_5044,nonanimal
n04054361_8980,nonanimal
n01322604_2968,animal
n11730750_8359,nonanimal
n07767549_13819,nonanimal
n02333190_3782,animal
n01894522_641,animal
n12092417_12824,nonanimal
n04526964_12823,nonanimal
n12512674_1585,nonanimal
n01887623_4398,animal
n07745466_7882,nonanimal
n02509515_7164,animal
n02007284_6333,animal
n04506688_3200,nonanimal
n04520962_4393,nonanimal
n02049088_5931,animal
n02317335_12809,animal
n01451295_190,animal
n03629520_3099,nonanimal
n11873182_10480,nonanimal
n01666228_10928,animal
n02112350_6108,animal
n02147591_4299,animal
n03088580_20275,nonanimal
n02128669_11399,animal
n02042472_3231,animal
n01531811_1816,animal
n02365480_1678,animal
n02439398_201,animal
n02356798_3593,animal
n12356395_16425,nonanimal
n02449699_552,animal
n02536165_1795,animal
n02089232_5876,animal
n12453857_1178,nonanimal
n02050586_1162,animal
n02108089_117,animal
n12865562_6923,nonanimal
n11772408_13058,nonanimal
n02328009_1377,animal
n04224395_6840,nonanimal
n01484097_5251,animal
n11658544_833,nonanimal
